no,short_desc,unit,qty,unit_price,total,vendor_quote,note,full_desc
貳.一.7,拆除既有裝修材後樓板混凝土剝落處填補,式,1.0,,,,,拆除既有裝修材後樓板混凝土剝落處填補 修繕
貳.一.8,既有空調風管拆除洞口補平,式,1.0,,,,,既有空調風管拆除洞口補平
貳.一.9,既有資訊機房管線調查及整理,式,1.0,,,,,既有資訊機房管線調查及整理
貳.一.10,竣工後清潔含洗地打蠟,式,1.0,,,,,竣工後清潔含洗地打蠟
貳.一.11,現場清理及營建廢棄物清運費(含相關清運,式,1.0,,,,,現場清理及營建廢棄物清運費(含相關清運 證明文件費用) 小計
貳.二,室內裝修工程,式,,,,,,室內裝修工程
貳.二.1,明架矽酸鈣板天花(耐燃一級)(60x60cm),M2,1474.0,,1474000,1000,祺晟工程行,明架矽酸鈣板天花(耐燃一級)(60x60cm)
貳.二.2,原有平頂漆水泥漆(一底二度),M2,45.0,,,,,原有平頂漆水泥漆(一底二度)
貳.二.3,高低天花板收頭處理,式,1.0,,110000,110000,祺晟工程行,高低天花板收頭處理
貳.二.4,隔間及小室，輕隔間牆，單層雙面矽酸鈣,M2,1273.0,,2418700,1900,祺晟工程行,隔間及小室，輕隔間牆，單層雙面矽酸鈣 板，隔板厚度9mm，耐燃一級(60K岩棉)(含 門框16GA立柱補強)
貳.二.5,隔間及小室，輕隔間牆，單層單面矽酸鈣,M2,28.0,,36400,1300,祺晟工程行,隔間及小室，輕隔間牆，單層單面矽酸鈣 板，隔板厚度9mm，耐燃一級(60K岩棉)(含 門框16GA立柱補強)
貳.二.6,砌1/2B磚牆,M2,501.0,,,,,砌1/2B磚牆
貳.二.7,內牆1:3水泥砂漿粉刷,M2,1003.0,,,,,內牆1:3水泥砂漿粉刷
貳.二.8,牆面批土漆水泥漆(一底二度),M2,3166.0,,,,,牆面批土漆水泥漆(一底二度)
貳.二.9,地坪及牆面貼磁磚處防水H=150cm(板材接,M2,424.0,,,,,地坪及牆面貼磁磚處防水H=150cm(板材接 縫處、不同材質交接處及轉角貼5cm以上抗 列纖維網補強)
貳.二.10,內牆貼30*60cm磁磚,M2,787.0,,,,,內牆貼30*60cm磁磚
貳.二.11,PVC牆毯背牆原有牆面整平,M2,599.0,,,,,PVC牆毯背牆原有牆面整平
貳.二.12,PVC牆毯(含鋁擠型收邊條含背襯),M2,599.0,,,,,PVC牆毯(含鋁擠型收邊條含背襯)
貳.二.13,PVC單層扶手,M,136.0,,,,,PVC單層扶手
貳.二.14,上牆式PVC踢腳+上方螢光膠條 H=10cm,M,835.0,,,,,上牆式PVC踢腳+上方螢光膠條 H=10cm
貳.二.15,牆角不鏽鋼防撞護角(不鏽鋼),座,62.0,,,,,牆角不鏽鋼防撞護角(不鏽鋼)
貳.二.16,原有窗台人造石檯面牆面拆除後修補,M,127.0,,,,,原有窗台人造石檯面牆面拆除後修補
